ProduktId,Name,Beschreibung,Preis,Kategorie,Hersteller,Lagerbestand,Lieferzeit,Gewicht,EAN
1,Laptop X200,Ein leistungsstarker Laptop mit 16GB RAM und 512GB SSD,1200.99,Elektronik,TechCorp,50,3-5 Werktage,2.5kg,1234567890123
2,Smartphone Z,"Neustes Smartphone mit 6.5"" Display und 128GB Speicher",899.99,Elektronik,MobileInc,100,1-2 Werktage,0.2kg,1234567890124
3,Smartwatch Pro,Smartwatch mit GPS und Herzfrequenzmesser,199.99,Wearables,FitnessGear,200,1-3 Werktage,0.1kg,1234567890125
4,Kaffeemaschine Deluxe,Espressomaschine mit Milchaufschäumer,299.99,Haushaltsgeräte,CoffeeMakers,30,2-4 Werktage,3kg,1234567890126
5,"4K Fernseher 55""",55 Zoll 4K UHD Fernseher mit HDR,799.99,Elektronik,VisionTech,20,5-7 Werktage,15kg,1234567890127
6,Tablet A10,"10.1"" Tablet mit 64GB Speicher",349.99,Elektronik,TabWorld,75,3-5 Werktage,0.5kg,1234567890128
7,Bluetooth Lautsprecher,Tragbarer Bluetooth Lautsprecher mit 10h Akkulaufzeit,59.99,Audio,GadgetSound,150,1-2 Werktage,0.3kg,1234567890129
8,Kühlschrank XXL,Großer Kühlschrank mit Gefrierfach,999.99,Haushaltsgeräte,HomeAppliances,10,7-10 Werktage,80kg,1234567890130
9,Waschmaschine 7kg,Energiesparende Waschmaschine mit 7kg Fassungsvermögen,599.99,Haushaltsgeräte,WashTech,25,5-7 Werktage,70kg,1234567890131
10,Gaming-Konsole X,Neuste Generation der Gaming-Konsole mit 1TB Speicher,499.99,Elektronik,GameZone,80,2-4 Werktage,3kg,1234567890132
11,Digitaler Bilderrahmen,"10"" digitaler Bilderrahmen mit WLAN",129.99,Elektronik,FrameIt,60,1-3 Werktage,0.7kg,1234567890133
12,High-End Kopfhörer,Over-Ear Kopfhörer mit Noise Cancelling,299.99,Audio,SoundMaster,40,2-4 Werktage,0.4kg,1234567890134
13,Smart Home Hub,Zentrale Steuerungseinheit für Smart Home Geräte,99.99,Elektronik,SmartLife,90,1-3 Werktage,0.5kg,1234567890135
14,E-Bike Mountain,Elektrisches Mountainbike mit 500W Motor,1999.99,Fahrräder,BikePro,15,10-14 Werktage,25kg,1234567890136
15,VR-Headset 2.0,Virtual Reality Headset mit 4K Auflösung,399.99,Elektronik,VirtualFun,70,3-5 Werktage,1kg,1234567890137
16,Roboterstaubsauger,Selbstfahrender Staubsauger mit App-Steuerung,249.99,Haushaltsgeräte,CleanBot,45,2-4 Werktage,4kg,1234567890138
17,Heißluftfritteuse,Große Heißluftfritteuse mit 5L Fassungsvermögen,149.99,Haushaltsgeräte,CookSmart,55,3-5 Werktage,6kg,1234567890139
18,Drohne X100,Drohne mit 4K Kamera und 30min Flugzeit,699.99,Elektronik,FlyHigh,25,5-7 Werktage,2kg,1234567890140
19,Smart Doorbell,Video-Türklingel mit App-Steuerung und Nachtsicht,89.99,Elektronik,SecureHome,120,1-3 Werktage,0.5kg,1234567890141
20,3D Drucker,3D Drucker mit großer Druckfläche und WLAN,499.99,Elektronik,PrintTech,30,5-7 Werktage,15kg,1234567890142
21,Streaming Stick,4K Streaming Stick mit Sprachsteuerung,49.99,Elektronik,StreamIt,200,1-2 Werktage,0.1kg,1234567890143
22,Induktionskochfeld,4-Zonen Induktionskochfeld mit Touch-Bedienung,599.99,Haushaltsgeräte,CookTech,20,5-7 Werktage,12kg,1234567890144
23,Luftreiniger Pro,HEPA Luftreiniger für Räume bis 50qm,199.99,Haushaltsgeräte,AirClean,35,3-5 Werktage,8kg,1234567890145
24,Akku-Bohrschrauber,Leistungsstarker Bohrschrauber mit 18V Akku,129.99,Werkzeuge,BuildIt,60,2-4 Werktage,3kg,1234567890146
25,WLAN-Router AC1200,Schneller WLAN-Router mit Dual-Band Technologie,79.99,Elektronik,NetSpeed,90,1-3 Werktage,0.6kg,1234567890147
